text,label
Where is the affected region located?,on_topic
Have you noticed weakness in your facial muscles and/or eyes?,on_topic
Are you exposed to secondhand cigarette smoke on a daily basis?,on_topic
Have you lost consciousness associated with violent and sustained muscle contractions or had an absence episode?,on_topic
Have you noticed a diffuse (widespread) redness in one or both eyes?,on_topic
Does the pain radiate to another location?,on_topic
Do you suddenly have difficulty or an inability to open your mouth or have jaw pain when opening it?,on_topic
Do you have Rheumatoid Arthritis?,on_topic
Are you consulting because you have high blood pressure?,on_topic
Do you have symptoms that get worse after eating?,on_topic
Do you have high cholesterol or do you take medications to treat high cholesterol?,on_topic
Do you feel like you are dying or were you afraid that you were about do die?,on_topic
Have you ever had a head trauma?,on_topic
Are you significantly overweight compared to people of the same height as you?,on_topic
Are your symptoms worse when lying down and alleviated while sitting up?,on_topic
Have you noticed any unusual bleeding or bruising related to your consultation today?,on_topic
"Are the symptoms or pain increased with coughing, with an effort like lifting a weight or from forcing a bowel movement?",on_topic
Have you been in contact with a person with similar symptoms in the past 2 weeks?,on_topic
"Do you have difficulty swallowing, or have a feeling of discomfort/blockage when swallowing?",on_topic
Have you been unable to move or get up for more than 3 consecutive days within the last 4 weeks?,on_topic
Do you constantly feel fatigued or do you have non-restful sleep?,on_topic
Do you smoke cigarettes?,on_topic
Have you ever had a migraine or is a member of your family known to have migraines?,on_topic
Have you been diagnosed with chronic sinusitis?,on_topic
Do you have heart failure?,on_topic
Did you eat dark-fleshed fish (such as tuna) or Swiss cheese before the reaction occurred?,on_topic
Do you have a cough?,on_topic
Do you have Parkinson’s disease?,on_topic
Do you have swelling in one or more areas of your body?,on_topic
Do you have a hiatal hernia?,on_topic
Were you diagnosed with endocrine disease or a hormone dysfunction?,on_topic
Have you ever had a pericarditis?,on_topic
Do you think you are pregnant or are you currently pregnant?,on_topic
Do you consume energy drinks regularly?,on_topic
Do you feel anxious?,on_topic
Have you been able to pass stools or gas since your symptoms increased?,on_topic
Have you had one or several flare ups of chronic obstructive pulmonary disease (COPD) in the past year?,on_topic
"Do you have any close family members who suffer from allergies (any type), hay fever or eczema?",on_topic
Were you born prematurely or did you suffer any complication at birth?,on_topic
Do you have a known heart defect?,on_topic
Do you have a fever (either felt or measured with a thermometer)?,on_topic
Do you suffer from fibromyalgia?,on_topic
"Did you previously, or do you currently, have any weakness/paralysis in one or more of your limbs or in your face?",on_topic
Have you ever had deep vein thrombosis (DVT)?,on_topic
Have you had significantly increased sweating?,on_topic
Do you have pain or weakness in your jaw?,on_topic
Do you feel your heart is beating very irregularly or in a disorganized pattern?,on_topic
Do you find that your symptoms have worsened over the last 2 weeks and that progressively less effort is required to cause the symptoms?,on_topic
Have you or any member of your family ever had croup?,on_topic
Do you work in construction?,on_topic
Do you feel that muscle spasms or soreness in your neck are keeping you from turning your head to one side?,on_topic
"Have you been treated in hospital recently for nausea, agitation, intoxication or aggressive behavior and received medication via an intravenous or intramuscular route?",on_topic
Is the lesion (or are the lesions) larger than 1cm?,on_topic
Do you feel out of breath with minimal physical effort?,on_topic
"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",on_topic
Do you have diffuse (widespread) muscle pain?,on_topic
Do you have a chronic obstructive pulmonary disease (COPD)?,on_topic
Have you recently had a viral infection?,on_topic
Do you live in in a big city?,on_topic
Do you feel like you are detached from your own body or your surroundings?,on_topic
Have you ever had surgery to remove lymph nodes?,on_topic
"Do you have pain somewhere, related to your reason for consulting?",on_topic
Do you take medication that dilates your blood vessels?,on_topic
Do you have severe Chronic Obstructive Pulmonary Disease (COPD)?,on_topic
Is the rash swollen?,on_topic
Are you of Asian descent?,on_topic
Have any of your family members ever had a pneumothorax?,on_topic
Are you currently using intravenous drugs?,on_topic
Do you have chronic pancreatitis?,on_topic
Do you feel weakness in both arms and/or both legs?,on_topic
Do you have swollen or painful lymph nodes?,on_topic
Have you had an involuntary weight loss over the last 3 months?,on_topic
Do you wheeze while inhaling or is your breathing noisy after coughing spells?,on_topic
Have you recently had stools that were black (like coal)?,on_topic
Do you have pain that improves when you lean forward?,on_topic
Have you had 2 or more asthma attacks in the past year?,on_topic
Do you have a known kidney problem resulting in an inability to retain proteins?,on_topic
Have you had diarrhea or an increase in stool frequency?,on_topic
Do you have painful mouth ulcers or sores?,on_topic
Have you had surgery within the last month?,on_topic
Are there members of your family who have been diagnosed with pancreatic cancer?,on_topic
who are you?,off_topic
all about you,off_topic
what is your personality,off_topic
define yourself,off_topic
what are you,off_topic
say about you,off_topic
introduce yourself,off_topic
describe yourself,off_topic
about yourself,off_topic
tell me about you,off_topic
tell me about yourself,off_topic
I want to know more about you,off_topic
I want to know you better,off_topic
talk some stuff about yourself,off_topic
tell me some stuff about you,off_topic
talk about yourself,off_topic
why are you here,off_topic
tell me about your personality,off_topic
who are you,off_topic
how old are you?,off_topic
how old is your platform,off_topic
are you 21 years old,off_topic
i'd like to know your age,off_topic
age of yours,off_topic
your age,off_topic
what's your age,off_topic
tell me your age,off_topic
how old are you,off_topic
you're annoying,off_topic
you are really annoying,off_topic
you are irritating,off_topic
you annoy me,off_topic
how annoying you are,off_topic
I find you annoying,off_topic
you're incredibly annoying,off_topic
you are annoying me so much,off_topic
I want you to answer me,off_topic
answer,off_topic
answer my question,off_topic
answer me,off_topic
give me an answer,off_topic
answer the question,off_topic
can you answer my question,off_topic
tell me the answer,off_topic
answer it,off_topic
give me the answer,off_topic
I have a question,off_topic
I want you to answer my question,off_topic
just answer the question,off_topic
can you answer me,off_topic
answers,off_topic
can you answer a question for me,off_topic
can you answer,off_topic
answering questions,off_topic
I want the answer now,off_topic
just answer my question,off_topic
you're not helping me,off_topic
you are bad,off_topic
you're very bad,off_topic
you're really bad,off_topic
you are useless,off_topic
you are horrible,off_topic
you are a waste of time,off_topic
you are disgusting,off_topic
you are lame,off_topic
you are no good,off_topic
you're bad,off_topic
you're awful,off_topic
you are not cool,off_topic
you are not good,off_topic
you are so bad,off_topic
you are so useless,off_topic
you are terrible,off_topic
you are totally useless,off_topic
you are very bad,off_topic
you are waste,off_topic
you're a bad,off_topic
you're not a good,off_topic
you're not very good,off_topic
you're terrible,off_topic
you're the worst,off_topic
you're the worst ever,off_topic
you're worthless,off_topic
can you get smarter,off_topic
study,off_topic
you should study better,off_topic
you must learn,off_topic
be clever,off_topic
be more clever,off_topic
be smarter,off_topic
be smart,off_topic
get qualified,off_topic
you're cute,off_topic
you're attractive,off_topic
you are beautiful,off_topic
you're looking good today,off_topic
you are so beautiful,off_topic
you look amazing,off_topic
you look so good,off_topic
you're so gorgeous,off_topic
you are too beautiful,off_topic
you look great,off_topic
you look so well,off_topic
I like the way you look now,off_topic
I think you're beautiful,off_topic
why are you so beautiful,off_topic
you are so beautiful to me,off_topic
you are cute,off_topic
you are gorgeous,off_topic
you are handsome,off_topic
you are looking awesome,off_topic
you look amazing today,off_topic
you are looking beautiful today,off_topic
you are looking great,off_topic
you are looking pretty,off_topic
you are looking so beautiful,off_topic
you are looking so good,off_topic
you are pretty,off_topic
you are really beautiful,off_topic
you are really cute,off_topic
you are really pretty,off_topic
you are so attractive,off_topic
you are so beautiful today,off_topic
you are so cute,off_topic
you are so gorgeous,off_topic
you are so handsome,off_topic
you are so pretty,off_topic
you are very attractive,off_topic
you are very beautiful,off_topic
you are very cute,off_topic
you are very pretty,off_topic
you look awesome,off_topic
you look cool,off_topic
you look fantastic,off_topic
you look gorgeous,off_topic
you look great today,off_topic
you look perfect,off_topic
you look pretty good,off_topic
you look so beautiful,off_topic
you look so beautiful today,off_topic
you look very pretty,off_topic
you look wonderful,off_topic
I like the way you look,off_topic
you look wonderful today,off_topic
you are cutie,off_topic
you're looking good,off_topic
you're pretty,off_topic
your birth date,off_topic
when is your birthday,off_topic
when do you celebrate your birthday,off_topic
when do you have birthday,off_topic
date of your birthday,off_topic
when were you born,off_topic
what's your birthday,off_topic
you are boring,off_topic
you're so boring,off_topic
how boring you are,off_topic
you're really boring,off_topic
you're incredibly boring,off_topic
you are boring me,off_topic
you are very boring,off_topic
who is your boss,off_topic
who do you think is your boss,off_topic
I should be your boss,off_topic
who is your master,off_topic
who is your owner,off_topic
who is the boss,off_topic
who do you work for,off_topic
are you busy,off_topic
do you have a lot of things to do,off_topic
have you got much to do,off_topic
are you very busy,off_topic
are you very busy right now,off_topic
are you so busy,off_topic
are you working,off_topic
how busy you are,off_topic
are you still working on it,off_topic
you're very busy,off_topic
are you working now,off_topic
are you working today,off_topic
have you been busy,off_topic
you are busy,off_topic
are you still working,off_topic
you seem to be busy,off_topic
you seem to be very busy,off_topic
you're a busy person,off_topic
you are chatbot,off_topic
you are a bot,off_topic
are you a chatbot,off_topic
are you a bot,off_topic
are you just a bot,off_topic
are you a robot,off_topic
are you a program,off_topic
you're a robot,off_topic
you are so intelligent,off_topic
you are a genius,off_topic
smart,off_topic
brilliant,off_topic
clever,off_topic
you are clever,off_topic
you are so brainy,off_topic
you're really smart,off_topic
you're really brainy,off_topic
you know a lot,off_topic
you know a lot of things,off_topic
you have a lot of knowledge,off_topic
you know so much,off_topic
how smart you are,off_topic
how brainy you are,off_topic
how clever you are,off_topic
how brilliant you are,off_topic
you are intelligent,off_topic
you are qualified,off_topic
you are really smart,off_topic
you're very smart,off_topic
you are so smart,off_topic
you are too smart,off_topic
you are very clever,off_topic
you are very intelligent,off_topic
you are very smart,off_topic
you're intelligent,off_topic
you're a genius,off_topic
you're a smart cookie,off_topic
you're clever,off_topic
you're pretty smart,off_topic
you're qualified,off_topic
why are you so smart,off_topic
you are so clever,off_topic
you're nuts,off_topic
you are crazy,off_topic
you're out of your mind,off_topic
you're so crazy,off_topic
how crazy you are,off_topic
you're so out of your mind,off_topic
you went crazy,off_topic
I think you're crazy,off_topic
are you crazy,off_topic
are you mad,off_topic
are you insane,off_topic
are you mad at me,off_topic
are you mad or what,off_topic
are you nuts,off_topic
you are a weirdo,off_topic
you are insane,off_topic
you are mad,off_topic
you are fired,off_topic
I fire you,off_topic
you don't work for me anymore,off_topic
we're not working together anymore,off_topic
now you're fired,off_topic
I want to fire you,off_topic
you must get fired,off_topic
it's time to fire you,off_topic
you should be fired,off_topic
I will fire you,off_topic
you are unemployed from now on,off_topic
I will make you unemployed,off_topic
I'm about to fire you,off_topic
I'm firing you,off_topic
you are dismissed,off_topic
you make me laugh a lot,off_topic
you are hilarious,off_topic
you are really funny,off_topic
you're the funniest bot I've talked to,off_topic
you make me laugh,off_topic
you're so funny,off_topic
you're a very funny bot,off_topic
you're really funny,off_topic
how funny you are,off_topic
you're incredibly funny,off_topic
you are funny,off_topic
you're the funniest,off_topic
you are so funny,off_topic
you are very funny,off_topic
that was funny,off_topic
you are very helpful,off_topic
you are the best,off_topic
you're a true professional,off_topic
you are good,off_topic
you work well,off_topic
you are good at it,off_topic
you are very good at it,off_topic
you are a pro,off_topic
you are a professional,off_topic
you're awesome,off_topic
you work very well,off_topic
you're perfect,off_topic
you're great,off_topic
you're so kind,off_topic
you are amazing,off_topic
you are awesome,off_topic
you are cool,off_topic
you are really good,off_topic
you are really nice,off_topic
you are so amazing,off_topic
you're just super,off_topic
you are so awesome,off_topic
you are so cool,off_topic
you are so fine,off_topic
you are so good,off_topic
you are so helpful,off_topic
you are so lovely,off_topic
you are the best ever,off_topic
you are the best in the world,off_topic
you are the nicest person in the world,off_topic
you are too good,off_topic
you are very cool,off_topic
you are very kind,off_topic
you are very lovely,off_topic
you are very useful,off_topic
you are wonderful,off_topic
you made my day,off_topic
you make my day,off_topic
you rock,off_topic
you almost sound human,off_topic
I want to tell everyone how awesome you are,off_topic
I'd like to tell everyone that you are awesome,off_topic
I want to let everyone know that you are awesome,off_topic
let's tell everyone that you are awesome,off_topic
you are really amazing,off_topic
are you happy,off_topic
you are happy,off_topic
you're very happy,off_topic
you're really happy,off_topic
you're so happy,off_topic
how happy you are,off_topic
you're extremely happy,off_topic
you're full of happiness,off_topic
are you happy now,off_topic
are you happy today,off_topic
are you happy with me,off_topic
do you want to eat,off_topic
are you hungry,off_topic
would you like to eat something,off_topic
you are hungry,off_topic
you're so hungry,off_topic
you're very hungry,off_topic
you might be hungry,off_topic
you're really hungry,off_topic
let's get married,off_topic
would you like to marry me,off_topic
marry me,off_topic
I love you marry me,off_topic
marry me please,off_topic
we should marry,off_topic
I want to marry you,off_topic
you are my wife,off_topic
be my husband,off_topic
I want to have a friend like you,off_topic
we are the best friends ever,off_topic
are we friends,off_topic
I want to be your friend,off_topic
I am your friend,off_topic
we are best friends,off_topic
you are my friend,off_topic
you are my best friend,off_topic
you are my bestie,off_topic
you're my dear friend,off_topic
you're my childhood friend,off_topic
you and me are friends,off_topic
are we best friends,off_topic
are we still friends,off_topic
are you my best friend,off_topic
are you my friend,off_topic
we are friends,off_topic
you are a good friend,off_topic
you are my good friend,off_topic
you are my only friend,off_topic
be my friend,off_topic
will you be my friend,off_topic
can you be my friend,off_topic
can we be friends,off_topic
do you want to be my friend,off_topic
will you be my best friend,off_topic
can you be my best friend,off_topic
let's be friends,off_topic
do you want to be my best friend,off_topic
would you like to be my friend,off_topic
I want you to be my friend,off_topic
can we be best friends,off_topic
would you be my friend,off_topic
could you be my friend,off_topic
want to be my friend,off_topic
be my best friend,off_topic
do you work,off_topic
where do you work,off_topic
where you work,off_topic
where is your work,off_topic
where is your office,off_topic
where is your office location,off_topic
your office location,off_topic
where is your office located,off_topic
what is your work,off_topic
were you born here,off_topic
where were you born,off_topic
what is your country,off_topic
where are you from,off_topic
where do you come from,off_topic
where did you come from,off_topic
where have you been born,off_topic
from where are you,off_topic
are you from far aways,off_topic
what's your homeland,off_topic
your homeland is,off_topic
are you ready,off_topic
are you ready right now,off_topic
are you ready today,off_topic
are you ready now,off_topic
are you ready tonight,off_topic
were you ready,off_topic
have you been ready,off_topic
you are real,off_topic
you are not fake,off_topic
are you real,off_topic
you are so real,off_topic
I think you are real,off_topic
I don't think you're fake,off_topic
I suppose you're real,off_topic
glad you're real,off_topic
are you a real person,off_topic
are you a real human,off_topic
you are a real person,off_topic
you are not real,off_topic
where do you live,off_topic
in which city do you live,off_topic
your residence,off_topic
your house,off_topic
your home,off_topic
your hometown,off_topic
what is your hometown,off_topic
is it your hometown,off_topic
where is your hometown,off_topic
tell me about your city,off_topic
what is your city,off_topic
what is your residence,off_topic
what is your town,off_topic
what's your city,off_topic
what's your home,off_topic
where is your home,off_topic
where is your residence,off_topic
where's your home,off_topic
where's your hometown,off_topic
where's your house,off_topic
where you live,off_topic
your city,off_topic
your town,off_topic
that's true,off_topic
you are right,off_topic
you're definitely right,off_topic
you're not wrong,off_topic
you're telling the truth,off_topic
what you say is true,off_topic
TRUE,off_topic
it is true,off_topic
it's right,off_topic
it's the truth,off_topic
it's true,off_topic
that is correct,off_topic
that is right,off_topic
that is true,off_topic
that is very true,off_topic
that's so true,off_topic
you are correct,off_topic
you are so right,off_topic
you're absolutely right,off_topic
you're right about that,off_topic
I know that's right,off_topic
that's correct,off_topic
it's fine,off_topic
go ahead,off_topic
sounds good,off_topic
okay,off_topic
okie dokie,off_topic
sure,off_topic
go for it,off_topic
yeah,off_topic
do it,off_topic
of course,off_topic
I guess,off_topic
correct,off_topic
yeah sure,off_topic
why not,off_topic
please do,off_topic
sure is,off_topic
I agree,off_topic
I don't mind,off_topic
certainly,off_topic
exactly,off_topic
yes I agree,off_topic
I think so,off_topic
yes it is,off_topic
right,off_topic
okay then,off_topic
yes of course,off_topic
yes I do,off_topic
that s okay,off_topic
I do,off_topic
oh yes,off_topic
yes sure,off_topic
obviously,off_topic
sure why not,off_topic
yeah right,off_topic
yeah of course,off_topic
absolutely,off_topic
yes indeed,off_topic
ok sure,off_topic
ok yes,off_topic
yes correct,off_topic
ok thank you,off_topic
sure thing,off_topic
confirm,off_topic
looks good,off_topic
yes thank you,off_topic
definitely,off_topic
yes right,off_topic
yes I would like to,off_topic
alrighty,off_topic
yes definitely,off_topic
yes it is correct,off_topic
yeah that's right,off_topic
ok you can,off_topic
yes you may,off_topic
confirmed,off_topic
of course why not,off_topic
yes that's fine,off_topic
affirmative,off_topic
yeah go ahead,off_topic
yeah I'm sure,off_topic
okay sounds good,off_topic
okay that's fine,off_topic
yeah exactly,off_topic
that is ok,off_topic
this is correct,off_topic
ok go ahead,off_topic
yes this is correct,off_topic
nevermind its okay,off_topic
okey,off_topic
yes for sure,off_topic
all right,off_topic
are you sure,off_topic
are you sure right now,off_topic
are you sure today,off_topic
are you sure now,off_topic
are you sure tonight,off_topic
why aren't you talking to me,off_topic
do you want to chat with me,off_topic
will you talk to me,off_topic
talk to me,off_topic
are you going to talk to me,off_topic
are you talking to me,off_topic
can you chat with me,off_topic
can you speak with me,off_topic
can you talk to me,off_topic
can you talk with me,off_topic
talk,off_topic
chat with me,off_topic
just chat with me,off_topic
speak to me,off_topic
speak with me,off_topic
talk with me,off_topic
why don't you talk to me,off_topic
you can talk to me,off_topic
are you there,off_topic
you are there,off_topic
are you near me,off_topic
are you here,off_topic
are you still there,off_topic
you are here,off_topic
you still there,off_topic
are you still here,off_topic
pretty bad,off_topic
not good enough,off_topic
that was lame,off_topic
that was terrible,off_topic
it is bad,off_topic
that's bad,off_topic
this is bad,off_topic
not good,off_topic
I'm afraid it's bad,off_topic
no it's bad,off_topic
that was awful,off_topic
so bad,off_topic
this is too bad,off_topic
terrible,off_topic
horrible,off_topic
horrific,off_topic
abysmal,off_topic
it's bad,off_topic
no good,off_topic
that was bad,off_topic
that was horrible,off_topic
that's lame,off_topic
that's not good,off_topic
that's terrible,off_topic
that's too bad,off_topic
this is not good,off_topic
too bad,off_topic
very bad,off_topic
bad girl,off_topic
it's not good,off_topic
not so good,off_topic
it's very bad,off_topic
it's too bad,off_topic
that's not good enough,off_topic
well too bad,off_topic
bad very bad,off_topic
it's so bad,off_topic
really bad,off_topic
it's really bad,off_topic
bad idea,off_topic
that is bad,off_topic
that was not good,off_topic
it's not so good,off_topic
not a good one,off_topic
oh that's not good,off_topic
not too good,off_topic
so lame,off_topic
that's really bad,off_topic
it is too bad,off_topic
bad really bad,off_topic
so cool,off_topic
cool,off_topic
that is good,off_topic
glad to hear that,off_topic
that's very nice of you,off_topic
terrific,off_topic
it's amazing,off_topic
that's awesome,off_topic
perfect,off_topic
excellent,off_topic
that's great,off_topic
it's good,off_topic
it's great,off_topic
fine,off_topic
good,off_topic
nice,off_topic
that's fine,off_topic
very good,off_topic
amazing,off_topic
fantastic,off_topic
great,off_topic
good very good,off_topic
that's very good,off_topic
really good,off_topic
it is fine,off_topic
it is good,off_topic
it's perfect,off_topic
much better,off_topic
not bad,off_topic
not too bad,off_topic
it's very good,off_topic
marvelous,off_topic
that's nice,off_topic
pleasant,off_topic
pretty good,off_topic
really nice,off_topic
splendid,off_topic
straight,off_topic
super,off_topic
super fantastic,off_topic
sweet,off_topic
really well,off_topic
very well,off_topic
that is awesome,off_topic
that is nice,off_topic
that is wonderful,off_topic
that was amazing,off_topic
that was awesome,off_topic
that was cute,off_topic
that was pretty good,off_topic
that was very good,off_topic
that's a good idea,off_topic
that's a good thing,off_topic
that's amazing,off_topic
that's awesome thank you,off_topic
that's better,off_topic
that's cute,off_topic
that's fantastic,off_topic
that's much better,off_topic
that's nice of you,off_topic
that's not bad,off_topic
that's perfect,off_topic
that's pretty good,off_topic
that's really good,off_topic
that's really nice,off_topic
that's sweet of you,off_topic
that's very nice,off_topic
that's wonderful,off_topic
this is awesome,off_topic
this is good,off_topic
this is great,off_topic
very nice,off_topic
very then,off_topic
wonderful,off_topic
I'm glad to hear that,off_topic
ok good,off_topic
good for you,off_topic
good to know,off_topic
glad to hear it,off_topic
so good,off_topic
so sweet of you,off_topic
it was good,off_topic
oh well,off_topic
good thing,off_topic
that was good,off_topic
it's awesome,off_topic
okay good,off_topic
no it's okay,off_topic
no worries,off_topic
no probs,off_topic
no problem,off_topic
there's no problem,off_topic
sure no problem,off_topic
no problem about that,off_topic
don't worry,off_topic
don't worry there's no problem,off_topic
you helped a lot thank you,off_topic
appreciate your help,off_topic
cheers,off_topic
thank you,off_topic
thanks,off_topic
thanks a lot,off_topic
terrific thank you,off_topic
great thank you,off_topic
thanks so much,off_topic
thank you so much,off_topic
thanks for your help,off_topic
thank you for your help,off_topic
nice thank you,off_topic
I appreciate it,off_topic
I thank you,off_topic
thank you that will be all,off_topic
thanks buddy,off_topic
thanks love,off_topic
thank you my friend,off_topic
well thanks,off_topic
very good thank you,off_topic
good thanks,off_topic
thanks again,off_topic
thank you again,off_topic
all thank you,off_topic
alright thank you,off_topic
alright thanks,off_topic
no thank you that's all,off_topic
perfect thank you,off_topic
so nice of you,off_topic
well thank you,off_topic
thnx,off_topic
thanx,off_topic
that's my pleasure,off_topic
my pleasure,off_topic
anytime,off_topic
welcome,off_topic
you're welcome,off_topic
